name,price,color,mpg,drive_type,engine,mileage
Used 2018 GMC Acadia FWD SLE w/ SLE-1,20600,blue,21 city / 26 highway,2 wheel drive - front,4-cylinder,31030
Used 2017 Volkswagen Jetta SE Sedan,12995,gray,28 city / 38 highway,2 wheel drive - front,4-cylinder turbo,19560
Used 2018 Subaru Legacy Premium,18697,red,25 city / 34 highway,all wheel drive,4-cylinder,21676
Certified 2019 Subaru Crosstrek 2.0i Limited,27991,white,27 city / 33 highway,all wheel drive,4-cylinder,10976
Certified 2019 Subaru Outback Limited,31331,gray,25 city / 32 highway,all wheel drive,4-cylinder,10519
Used 2015 Toyota Tundra SR5,27000,gray,13 city / 17 highway,4 wheel drive,8-cylinder,45345
Used 2013 Volkswagen Jetta TDI,12495,white,29 city / 37 highway,2 wheel drive - front,4-cylinder turbo,27500
Used 2011 RAM 1500 Laramie,18995,gold,13 city / 19 highway,4 wheel drive,8-cylinder,129242
Used 2015 Volkswagen Passat TDI SEL Premium,13495,blue,29 city / 40 highway,2 wheel drive - front,4-cylinder turbo,46655
Certified 2016 Volkswagen Passat 1.8T S,13995,white,undefined,2 wheel drive - front,4-cylinder turbo,49109
Used 2016 Ford C-MAX SEL,14995,black,42 city / 37 highway,2 wheel drive - front,4-cylinder,33096
Used 2016 Hyundai Santa Fe FWD Sport,15995,black,20 city / 27 highway,2 wheel drive - front,4-cylinder,30413
Used 2015 Volkswagen Golf SEL,17995,gray,31 city / 41 highway,2 wheel drive - front,4-cylinder turbo,22390
Used 2017 Kia Sedona LX,19495,red,18 city / 24 highway,2 wheel drive - front,6-cylinder,27479
Certified 2017 Volkswagen Golf R 4-Door,31495,gray,23 city / 30 highway,all wheel drive,4-cylinder turbo,26647
Used 2019 Volkswagen GTI Autobahn,33495,blue,25 city / 31 highway,2 wheel drive - front,4-cylinder turbo,1210
Used 2017 Ford Taurus SEL,14749,silver,18 city / 27 highway,2 wheel drive - front,6-cylinder,28345
Used 2018 Chevrolet Silverado 1500 W/T,17495,white,16 city / 23 highway,2 wheel drive - rear,8-cylinder,14754
Used 2018 Chevrolet Silverado 1500 W/T,17995,white,16 city / 23 highway,2 wheel drive - rear,8-cylinder,10011
Used 2017 Ford Fusion Titanium,17995,white,21 city / 31 highway,2 wheel drive - front,4-cylinder turbo,27520
Used 2018 GMC Sierra 1500 4x4 Double Cab,27990,white,16 city / 22 highway,4 wheel drive,8-cylinder,18360
Used 2000 Honda Civic EX Coupe,1998,green,24 city / 32 highway,2 wheel drive - front,4-cylinder,211843
Used 2017 Hyundai Accent SE,10993,gray,26 city / 36 highway,2 wheel drive - front,4-cylinder,40559
Used 2016 Volkswagen Passat 1.8T S,12472,blue,25 city / 36 highway,2 wheel drive - front,4-cylinder turbo,51900
Used 2016 Kia Soul,12909,white,24 city / 30 highway,2 wheel drive - front,4-cylinder,30430
Used 2016 Dodge Grand Caravan SXT,14999,gray,17 city / 25 highway,2 wheel drive - front,6-cylinder,47763
Used 2013 Jeep Grand Cherokee Limited,17499,red,16 city / 23 highway,4 wheel drive,8-cylinder,96846
Used 2018 Nissan Rogue Sport S,17500,black,24 city / 30 highway,all wheel drive,4-cylinder,24295
Used 2012 GMC Yukon AWD Denali,19694,brown,13 city / 18 highway,all wheel drive,8-cylinder,100801
Used 2012 BMW 335i xDrive Coupe,16995,black,18 city / 26 highway,all wheel drive,6-cylinder turbo,56704
Used 2018 Subaru Legacy Premium,18697,red,25 city / 34 highway,all wheel drive,4-cylinder,21676
Certified 2019 Subaru Crosstrek 2.0i Limited,27991,white,27 city / 33 highway,all wheel drive,4-cylinder,10976
Certified 2019 Subaru Outback Limited,31331,gray,25 city / 32 highway,all wheel drive,4-cylinder,10519
Used 2015 Toyota Tundra SR5,27000,gray,13 city / 17 highway,4 wheel drive,8-cylinder,45345
Used 2013 Volkswagen Jetta TDI,12495,white,29 city / 37 highway,2 wheel drive - front,4-cylinder turbo,27500
New 2020 Toyota Camry XLE,35550,turquoise,29 city / 41 highway,2 wheel drive - front,4-cylinder,undefined
Used 2015 Volkswagen Passat TDI SEL Premium,13495,blue,29 city / 40 highway,2 wheel drive - front,4-cylinder turbo,46655
